timestamp,id,rating,course_2,course_3,is_mi_student,is_ml_student,fall_1,fall_2,fall_3,spring_1,spring_2,spring_3,is_first_time,percentile,blended
2023-05-15 01:12:50,93ff79a51cd602f1dd3028ba2c129503,698,,61,,,Язык SQL,Высокопроизводительные вычисления,Матричные вычисления,Дискретная оптимизация,Численные методы,Машинное обучение 2,Да,0.183856502242152,
2023-05-15 02:46:48,26b01b1c4cd5656bab18d24c548834fb,647,,61,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Язык SQL,Дискретная оптимизация,Численные методы,Машинное обучение 2,Нет,0.426008968609866,
2023-05-15 03:12:41,30f3653fc176d54e89ac3179c455c6dd,624,,65,,,Безопасность компьютерных систем,Матричные вычисления,Моделирование временных рядов,Дискретная оптимизация,Машинное обучение 2,Численные методы,Да,0.538116591928251,
2023-05-15 04:43:08,1528f0eaa027580820ccf0d92a53ad68,579,,62,,,Statistical Learning Theory,Высокопроизводительные вычисления,Матричные вычисления,Дискретная оптимизация,Численные методы,Машинное обучение 2,Да,0.744394618834081,
2023-05-15 07:47:17,496ea4f0d4abe264b1bb1b80eb3830c5,572,,63,,,Высокопроизводительные вычисления,Безопасность компьютерных систем,Теория баз данных,Компьютерные сети,Дискретная оптимизация,Численные методы,Да,0.780269058295964,
2023-05-15 09:10:18,d0d8ff53ed5b119f9056068e954256c6,591,,67,,,Язык SQL,Statistical Learning Theory,Сбор и обработка данных с помощью краудсорсинга,Промышленное программирование на языке Java,Численные методы,Дискретная оптимизация,Да,0.690582959641256,
2023-05-15 11:42:16,e4caca755ee0bdd711e18fb8084958b5,724,,62,,,Statistical Learning Theory,Безопасность компьютерных систем,Моделирование временных рядов,Численные методы,Промышленное программирование на языке Java,Машинное обучение 2,Да,0.103139013452915,
2023-05-15 12:11:43,8047c18b3c531c6f47931e0744f3e028,566,,67,,,Язык SQL,Теория баз данных,Безопасность компьютерных систем,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Да,0.802690582959641,
2023-05-15 13:21:40,e8b314842f176be9051d14a07cb156cb,618,,61,,,Язык SQL,Теория баз данных,Матричные вычисления,Промышленное программирование на языке Java,Компьютерные сети,Дискретная оптимизация,Да,0.565022421524664,
2023-05-15 13:29:10,d6c079f1ff869c8c84fa3ed30bd67e0e,733,,61,,1,Теория баз данных,Высокопроизводительные вычисления,Сбор и обработка данных с помощью краудсорсинга,Дополнительные главы прикладной статистики,Анализ данных в бизнесе,Численные методы,Да,0.852017937219731,
2023-05-15 13:46:31,57c331c5a1b473501d86dfd23421bb5c,623,,66,,,Принятие решений в условиях риска и неопределённости,Моделирование временных рядов,Матричные вычисления,Анализ данных в бизнесе,Численные методы,Машинное обучение 2,Да,0.542600896860987,
2023-05-15 14:52:24,3de75278c0cdb78bbe54267f65c67d25,563,,67,,,Язык SQL,Теория баз данных,Сбор и обработка данных с помощью краудсорсинга,Промышленное программирование на языке Java,Системы баз данных,Анализ данных в бизнесе,Да,0.811659192825112,
2023-05-15 16:13:05,77c7b37ee521df16ccff23ba50c893d4,735,,63,,,Высокопроизводительные вычисления,Язык SQL,Безопасность компьютерных систем,Компьютерные сети,Промышленное программирование на языке Java,Машинное обучение 2,Да,0.762331838565022,
